User Story,Strategy,Config,Prompt,Output,Prompt Length,Output Length,FR Count,NFR Count,Specificity Score,Testability Score,Measurability Score,Latency (seconds),Prompt Tokens ,Completion Tokens ,Total Tokens ,Config Details,ai-specificity,ai-measurability,ai-accuracy,ai-completeness
"{'text': 'As a user, I want to be able to see high-quality images of the products I am interested in so that I can make an informed decision.', 'context': 'Application for fashion ecommerce'}",Zero-shot,precise,"Convert the following user story into specific, measurable, achievable, relevant, and time-bound software requirements:

USER STORY:
As a user, I want to be able to see high-quality images of the products I am interested in so that I can make an informed decision.

OUTPUT FORMAT:
1. List functional requirements (FR) first
2. List non-functional requirements (NFR) second
3. Each requirement should be specific, measurable, and testable

I want you to only share the functional (FR) and nonfunctional (NFR) requirements as follows and do not share your reasoning with me: 

FR-1: 
FR-2:
NFR-1: 
NFR-2:
and so on..
","FR-1: The system shall display at least three (3) images per product on the product details page.
FR-2: The system shall allow users to zoom into product images to at least 200% of their original size without significant pixelation.
FR-3: The system shall support product images in JPEG, PNG, and WebP formats.
FR-4: The system shall display a maximum image file size of 500KB per image.

NFR-1: Product images shall load within 3 seconds on a broadband connection (minimum 25 Mbps download speed).
NFR-2: Product images shall have a minimum resolution of 800x600 pixels.
NFR-3: The system shall maintain an image quality score of at least 80 (on a scale of 0-100, using a standardized image quality metric like PSNR or SSIM) after image processing and display.
NFR-4: The website shall be compatible with the latest versions of Chrome, Firefox, Safari, and Edge browsers.
",615,873,8,4,4,2,3,1.96,160,228,388,"{'model_name': 'gemini-2.0-flash-001', 'temperature': 0.2, 'top_p': 0.95, 'top_k': 40}",4,4,4,3
"{'text': 'As a user, I want to be able to see high-quality images of the products I am interested in so that I can make an informed decision.', 'context': 'Application for fashion ecommerce'}",Zero-shot,default,"Convert the following user story into specific, measurable, achievable, relevant, and time-bound software requirements:

USER STORY:
As a user, I want to be able to see high-quality images of the products I am interested in so that I can make an informed decision.

OUTPUT FORMAT:
1. List functional requirements (FR) first
2. List non-functional requirements (NFR) second
3. Each requirement should be specific, measurable, and testable

I want you to only share the functional (FR) and nonfunctional (NFR) requirements as follows and do not share your reasoning with me: 

FR-1: 
FR-2:
NFR-1: 
NFR-2:
and so on..
","FR-1: The system shall display at least three (3) images per product on the product details page.
FR-2: Each product image shall be zoomable, allowing users to magnify the image up to 200% of its original size.
FR-3: The system shall support product images in JPEG, PNG, and WebP formats.
FR-4: The system shall allow users to view product images in a full-screen mode.

NFR-1: Product images shall load within 3 seconds on a broadband internet connection (minimum 25 Mbps download speed).
NFR-2: All product images shall have a minimum resolution of 800x600 pixels.
NFR-3: The image display component shall be compatible with the latest versions of Chrome, Firefox, Safari, and Edge browsers.
NFR-4: The server shall maintain an image availability rate of 99.9% during business hours (8 AM - 6 PM local time).
",615,811,8,4,4,2,3,2.1,160,212,372,"{'model_name': 'gemini-2.0-flash-001', 'temperature': 0.7, 'top_p': 0.95, 'top_k': 40}",4,4,4,3
"{'text': 'As a user, I want to be able to see high-quality images of the products I am interested in so that I can make an informed decision.', 'context': 'Application for fashion ecommerce'}",Zero-shot,creative,"Convert the following user story into specific, measurable, achievable, relevant, and time-bound software requirements:

USER STORY:
As a user, I want to be able to see high-quality images of the products I am interested in so that I can make an informed decision.

OUTPUT FORMAT:
1. List functional requirements (FR) first
2. List non-functional requirements (NFR) second
3. Each requirement should be specific, measurable, and testable

I want you to only share the functional (FR) and nonfunctional (NFR) requirements as follows and do not share your reasoning with me: 

FR-1: 
FR-2:
NFR-1: 
NFR-2:
and so on..
","FR-1: The system shall display at least three (3) product images per product on the product detail page.
FR-2: Each product image shall be zoomable, allowing users to magnify the image to at least 200% of its original displayed size.
FR-3: The system shall allow users to view product images in a full-screen mode upon clicking on an image.
FR-4: Product images shall be displayed within 2 seconds of the product detail page loading.
NFR-1: All product images shall have a minimum resolution of 1200x1200 pixels.
NFR-2: Product images shall be optimized for web display, with a maximum file size of 500KB per image.
NFR-3: The system shall support common image formats, including JPEG, PNG, and WebP.
NFR-4: The image loading time on the product detail page shall be less than 2 seconds on a broadband connection (minimum 25 Mbps).
",615,832,8,4,5,2,4,1.91,160,217,377,"{'model_name': 'gemini-2.0-flash-001', 'temperature': 1.0, 'top_p': 0.95, 'top_k': 40}",4,5,5,4
"{'text': 'As a user, I want to be able to see high-quality images of the products I am interested in so that I can make an informed decision.', 'context': 'Application for fashion ecommerce'}",Few-shot,precise,"
Convert the following user story into specific, measurable, achievable, relevant, and time-bound, functional and non-functional software requirements.

EXAMPLE 1:
User Story: As a user, I want to log in with my email and password.

Requirements:
FR-1: The system shall provide a login form with fields for email and password.
FR-2: The system shall validate that the email field contains a valid email format.
FR-3: The system shall verify credentials against the user database within 2 seconds.
FR-4: The system shall grant access to authorized functionality if credentials are correct.
FR-5: The system shall display an error message if credentials are incorrect.
NFR-1: The login process shall complete within 3 seconds under normal load conditions.
NFR-2: The system shall encrypt password data during transmission.

EXAMPLE 2:
User Story: As an admin, I want to view reports of user activity.

Requirements:
FR-1: The system shall provide a dashboard displaying user activity metrics.
FR-2: The system shall allow filtering of reports by date range and activity type.
FR-3: The system shall enable exporting reports in CSV and PDF formats.
NFR-1: The system shall generate reports within 5 seconds for data spanning up to 30 days.
NFR-2: The dashboard shall refresh automatically every 5 minutes.

Now convert this user story into similar well-structured requirements:
As a user, I want to be able to see high-quality images of the products I am interested in so that I can make an informed decision.
","Okay, here's the breakdown of the user story ""As a user, I want to be able to see high-quality images of the products I am interested in so that I can make an informed decision"" into specific, measurable, achievable, relevant, and time-bound functional and non-functional requirements:

**Functional Requirements (FR):**

*   **FR-1: Image Display:** The system shall display at least one image for each product listed on the product details page.
*   **FR-2: Image Zoom:** The system shall allow users to zoom in on product images to view finer details.
*   **FR-3: Image Gallery:** The system shall provide a gallery or carousel to display multiple images of a product, if available.
*   **FR-4: Image Formats:** The system shall support displaying images in common formats such as JPEG, PNG, and WebP.
*   **FR-5: Alternative Text:** The system shall provide alternative text (alt text) for all product images for accessibility purposes.
*   **FR-6: Image Selection:** The system shall allow the user to select a specific image from the gallery to be the primary displayed image.

**Non-Functional Requirements (NFR):**

*   **NFR-1: Image Loading Time:** Product images shall load within 2 seconds on a broadband connection (minimum 10 Mbps).
*   **NFR-2: Image Resolution:** Product images shall have a minimum resolution of 800x600 pixels to ensure sufficient detail when zoomed.
*   **NFR-3: Image Optimization:** The system shall optimize images for web delivery to minimize file size without significant loss of visual quality (e.g., using compression techniques).
*   **NFR-4: Responsiveness:** Product images shall be responsive and adapt to different screen sizes and devices (desktop, tablet, mobile).
*   **NFR-5: Image Availability:** The system shall maintain an image availability rate of 99.9% during peak usage hours.
*   **NFR-6: Storage Capacity:** The system shall have sufficient storage capacity to accommodate high-resolution images for all products, with a minimum of 10GB allocated for product images.
",1507,2029,12,6,4,1,2,3.12,346,473,819,"{'model_name': 'gemini-2.0-flash-001', 'temperature': 0.2, 'top_p': 0.95, 'top_k': 40}",4,4,5,4
"{'text': 'As a user, I want to be able to see high-quality images of the products I am interested in so that I can make an informed decision.', 'context': 'Application for fashion ecommerce'}",Few-shot,default,"
Convert the following user story into specific, measurable, achievable, relevant, and time-bound, functional and non-functional software requirements.

EXAMPLE 1:
User Story: As a user, I want to log in with my email and password.

Requirements:
FR-1: The system shall provide a login form with fields for email and password.
FR-2: The system shall validate that the email field contains a valid email format.
FR-3: The system shall verify credentials against the user database within 2 seconds.
FR-4: The system shall grant access to authorized functionality if credentials are correct.
FR-5: The system shall display an error message if credentials are incorrect.
NFR-1: The login process shall complete within 3 seconds under normal load conditions.
NFR-2: The system shall encrypt password data during transmission.

EXAMPLE 2:
User Story: As an admin, I want to view reports of user activity.

Requirements:
FR-1: The system shall provide a dashboard displaying user activity metrics.
FR-2: The system shall allow filtering of reports by date range and activity type.
FR-3: The system shall enable exporting reports in CSV and PDF formats.
NFR-1: The system shall generate reports within 5 seconds for data spanning up to 30 days.
NFR-2: The dashboard shall refresh automatically every 5 minutes.

Now convert this user story into similar well-structured requirements:
As a user, I want to be able to see high-quality images of the products I am interested in so that I can make an informed decision.
","Okay, here's the breakdown of the user story ""As a user, I want to be able to see high-quality images of the products I am interested in so that I can make an informed decision"" into specific, measurable, achievable, relevant, and time-bound functional and non-functional requirements:

**Functional Requirements (FR):**

*   **FR-1:** The system shall display at least one image for each product listed on the product details page.
*   **FR-2:** The system shall allow users to zoom into product images to view finer details.
*   **FR-3:** The system shall support multiple images per product, allowing users to view the product from different angles or perspectives.
*   **FR-4:** The system shall provide a mechanism (e.g., thumbnail navigation, carousel) to easily browse through multiple images associated with a product.
*   **FR-5:** The system shall display the product image(s) prominently on the product detail page, above the fold or within the initial viewport, ensuring immediate visibility.

**Non-Functional Requirements (NFR):**

*   **NFR-1:** Product images shall be displayed with a minimum resolution of 800x600 pixels to ensure clarity and detail.
*   **NFR-2:** Product images shall load within 2 seconds on a broadband connection (minimum 10 Mbps download speed).
*   **NFR-3:** The system shall optimize images for web display to minimize file size without significant loss of visual quality (e.g., using JPEG compression with a quality setting of 80).
*   **NFR-4:** The system shall support common image formats such as JPEG, PNG, and WebP.
*   **NFR-5:** The system shall ensure that image aspect ratios are maintained to prevent distortion.
*   **NFR-6:** The system shall store product images securely and prevent unauthorized access or modification.
*   **NFR-7:** The system shall be able to concurrently serve images to at least 1000 users without performance degradation.
*   **NFR-8:** The system shall include alt text for all product images to enhance accessibility for users with visual impairments and improve SEO.
",1507,2053,13,8,4,2,1,3.4,346,476,822,"{'model_name': 'gemini-2.0-flash-001', 'temperature': 0.7, 'top_p': 0.95, 'top_k': 40}",4,4,5,4
"{'text': 'As a user, I want to be able to see high-quality images of the products I am interested in so that I can make an informed decision.', 'context': 'Application for fashion ecommerce'}",Few-shot,creative,"
Convert the following user story into specific, measurable, achievable, relevant, and time-bound, functional and non-functional software requirements.

EXAMPLE 1:
User Story: As a user, I want to log in with my email and password.

Requirements:
FR-1: The system shall provide a login form with fields for email and password.
FR-2: The system shall validate that the email field contains a valid email format.
FR-3: The system shall verify credentials against the user database within 2 seconds.
FR-4: The system shall grant access to authorized functionality if credentials are correct.
FR-5: The system shall display an error message if credentials are incorrect.
NFR-1: The login process shall complete within 3 seconds under normal load conditions.
NFR-2: The system shall encrypt password data during transmission.

EXAMPLE 2:
User Story: As an admin, I want to view reports of user activity.

Requirements:
FR-1: The system shall provide a dashboard displaying user activity metrics.
FR-2: The system shall allow filtering of reports by date range and activity type.
FR-3: The system shall enable exporting reports in CSV and PDF formats.
NFR-1: The system shall generate reports within 5 seconds for data spanning up to 30 days.
NFR-2: The dashboard shall refresh automatically every 5 minutes.

Now convert this user story into similar well-structured requirements:
As a user, I want to be able to see high-quality images of the products I am interested in so that I can make an informed decision.
","Okay, here's the breakdown of the user story into functional and non-functional requirements, following the SMART principles and focusing on clarity and testability:

**User Story:** As a user, I want to be able to see high-quality images of the products I am interested in so that I can make an informed decision.

**Requirements:**

**Functional Requirements (FR):**

*   **FR-1: Product Image Display:** The system shall display at least one image for each product listed on the product page.
*   **FR-2: Image Zoom:** The system shall allow the user to zoom in on the product image(s) to view finer details.
*   **FR-3: Image Gallery:** The system shall support a gallery view of multiple images for a single product, allowing the user to navigate between them.
*   **FR-4: Supported Image Formats:** The system shall support displaying images in the following formats: JPEG, PNG, and WebP.
*   **FR-5: Alternative Text:** The system shall provide alternative text (alt text) for each product image for accessibility purposes and SEO.
*   **FR-6: Image Display on Different Devices:** The images must adjust properly for viewing on different types of devices.
*   **FR-7: Related Image Navigation:** The system shall allow users to use the scrollbar to view images, on any device.

**Non-Functional Requirements (NFR):**

*   **NFR-1: Image Loading Performance:** Product images shall load within 3 seconds on a connection speed of 10 Mbps.
*   **NFR-2: Image Resolution:** Product images shall have a minimum resolution of 800x600 pixels (or equivalent aspect ratio) to ensure acceptable visual quality after zooming.
*   **NFR-3: Image Compression:** Product images shall be compressed to a file size no larger than 500KB to minimize loading times, while maintaining acceptable visual quality.
*   **NFR-4: Image Availability:** The system shall ensure 99.9% uptime for image availability.
*   **NFR-5: Responsiveness:** Images shall be displayed appropriately on various screen sizes (desktop, tablet, mobile) without distortion or cropping.
*   **NFR-6: Image Storage:** The System shall provide storage for 500 TB of images.
",1507,2134,13,6,3,1,2,3.36,346,505,851,"{'model_name': 'gemini-2.0-flash-001', 'temperature': 1.0, 'top_p': 0.95, 'top_k': 40}",4,4,5,4
"{'text': 'As a user, I want to be able to see high-quality images of the products I am interested in so that I can make an informed decision.', 'context': 'Application for fashion ecommerce'}",Chain-of-Thought,precise,"
Convert the following user story into specific, measurable, achievable, relevant, and time-bound software requirements by following these steps:

USER STORY:
As a user, I want to be able to see high-quality images of the products I am interested in so that I can make an informed decision.

Follow these steps to derive the requirements:

1. Identify the actor (Who is performing the action?)
   - Who is the primary user in this story?
   - What is their role in the system?

2. Identify the action (What do they want to do?)
   - What specific functionality is being requested?
   - What system components would be involved?

3. Identify the goal (Why do they want to do it?)
   - What is the underlying user need?
   - How does this relate to business objectives?

4. Extract assumptions and constraints
   - What implicit needs are not directly stated?
   - What technical or business constraints might apply?

5. Derive detailed functional requirements (FR) from the analysis performed in the previous steps.
   - What specific behaviors must the system exhibit?
   - What are the inputs, processes, and outputs?

6. Derive non-functional requirements (NFR) from the analysis performed in the previous steps.
   - What quality attributes are important (performance, security, usability)?
   - What measurable criteria should apply?

Based on the analysis performed in the steps above, provide a numbered list of clear, specific, and testable functional (FR) and non-functional (NFR) requirements.

Output ONLY the functional (FR) and non-functional (NFR) requirements in the following format and do not share your reasoning with me:

FR-1:
FR-2:
...
NFR-1:
NFR-2:
...
","FR-1: The system shall display at least three images per product on the product details page.
FR-2: The system shall allow users to zoom in on product images to view finer details.
FR-3: The system shall support the following image formats: JPEG, PNG, and WebP.
FR-4: The system shall display a placeholder image if a product image is unavailable.
FR-5: The system shall allow users to view product images in a full-screen mode.
FR-6: The system shall ensure that product images are relevant to the product being displayed.

NFR-1: Product images shall load within 3 seconds on a broadband connection (minimum 25 Mbps download speed).
NFR-2: Product images shall have a minimum resolution of 800x600 pixels.
NFR-3: Product images shall be optimized for web display to minimize file size without significant loss of visual quality (target file size under 500KB per image).
NFR-4: The system shall maintain an image aspect ratio that prevents distortion of the product's appearance.
NFR-5: The system shall ensure that all product images are securely stored and protected from unauthorized access.
NFR-6: The website shall be responsive, and product images shall be appropriately sized and displayed on various devices (desktops, tablets, and mobile phones).
",1674,1257,12,6,4,2,2,2.17,390,293,683,"{'model_name': 'gemini-2.0-flash-001', 'temperature': 0.2, 'top_p': 0.95, 'top_k': 40}",4,4,5,4
"{'text': 'As a user, I want to be able to see high-quality images of the products I am interested in so that I can make an informed decision.', 'context': 'Application for fashion ecommerce'}",Chain-of-Thought,default,"
Convert the following user story into specific, measurable, achievable, relevant, and time-bound software requirements by following these steps:

USER STORY:
As a user, I want to be able to see high-quality images of the products I am interested in so that I can make an informed decision.

Follow these steps to derive the requirements:

1. Identify the actor (Who is performing the action?)
   - Who is the primary user in this story?
   - What is their role in the system?

2. Identify the action (What do they want to do?)
   - What specific functionality is being requested?
   - What system components would be involved?

3. Identify the goal (Why do they want to do it?)
   - What is the underlying user need?
   - How does this relate to business objectives?

4. Extract assumptions and constraints
   - What implicit needs are not directly stated?
   - What technical or business constraints might apply?

5. Derive detailed functional requirements (FR) from the analysis performed in the previous steps.
   - What specific behaviors must the system exhibit?
   - What are the inputs, processes, and outputs?

6. Derive non-functional requirements (NFR) from the analysis performed in the previous steps.
   - What quality attributes are important (performance, security, usability)?
   - What measurable criteria should apply?

Based on the analysis performed in the steps above, provide a numbered list of clear, specific, and testable functional (FR) and non-functional (NFR) requirements.

Output ONLY the functional (FR) and non-functional (NFR) requirements in the following format and do not share your reasoning with me:

FR-1:
FR-2:
...
NFR-1:
NFR-2:
...
","FR-1: The system shall display at least three (3) product images per product on the product details page.
FR-2: The system shall allow users to zoom in on product images to at least 200% of their original size without significant pixelation.
FR-3: The system shall support product images in JPEG, PNG, and WebP formats.
FR-4: The system shall display product images within 1 second of the product details page loading.
FR-5: The system shall automatically resize product images for display on different screen sizes (desktop, tablet, mobile).
FR-6: The system shall allow administrators to upload multiple images per product via the admin panel.

NFR-1: Product images shall have a minimum resolution of 800x600 pixels.
NFR-2: The image loading time for each product image shall be less than 500 milliseconds on a broadband connection (minimum 25 Mbps).
NFR-3: The image quality shall be visually assessed by at least 80% of users as ""high"" in a user satisfaction survey.
NFR-4: The system shall maintain an average image compression ratio of at least 50% without noticeable loss of visual quality.
NFR-5: The storage capacity allocated for product images shall be scalable to accommodate at least 1 million images.
NFR-6: The system shall support image optimization techniques (e.g., lazy loading) to improve page load performance.
",1674,1333,12,6,4,1,3,2.22,390,318,708,"{'model_name': 'gemini-2.0-flash-001', 'temperature': 0.7, 'top_p': 0.95, 'top_k': 40}",4,4,5,4
"{'text': 'As a user, I want to be able to see high-quality images of the products I am interested in so that I can make an informed decision.', 'context': 'Application for fashion ecommerce'}",Chain-of-Thought,creative,"
Convert the following user story into specific, measurable, achievable, relevant, and time-bound software requirements by following these steps:

USER STORY:
As a user, I want to be able to see high-quality images of the products I am interested in so that I can make an informed decision.

Follow these steps to derive the requirements:

1. Identify the actor (Who is performing the action?)
   - Who is the primary user in this story?
   - What is their role in the system?

2. Identify the action (What do they want to do?)
   - What specific functionality is being requested?
   - What system components would be involved?

3. Identify the goal (Why do they want to do it?)
   - What is the underlying user need?
   - How does this relate to business objectives?

4. Extract assumptions and constraints
   - What implicit needs are not directly stated?
   - What technical or business constraints might apply?

5. Derive detailed functional requirements (FR) from the analysis performed in the previous steps.
   - What specific behaviors must the system exhibit?
   - What are the inputs, processes, and outputs?

6. Derive non-functional requirements (NFR) from the analysis performed in the previous steps.
   - What quality attributes are important (performance, security, usability)?
   - What measurable criteria should apply?

Based on the analysis performed in the steps above, provide a numbered list of clear, specific, and testable functional (FR) and non-functional (NFR) requirements.

Output ONLY the functional (FR) and non-functional (NFR) requirements in the following format and do not share your reasoning with me:

FR-1:
FR-2:
...
NFR-1:
NFR-2:
...
","FR-1: The system shall display at least three images per product.
FR-2: The system shall allow users to zoom into product images up to 200% of the original size without noticeable pixelation.
FR-3: The system shall support the following image formats: JPEG, PNG, and WebP.
FR-4: The system shall display images on product pages within 1 second of the page loading.
FR-5: The system shall provide the option to view images in a full-screen mode.
FR-6: The system shall ensure all product images are correctly oriented and do not appear distorted.

NFR-1: The system shall maintain an image resolution of at least 1200x900 pixels for all product images.
NFR-2: The image loading time for each product image shall not exceed 500 milliseconds on a broadband connection (25 Mbps).
NFR-3: The system shall use image optimization techniques to minimize image file size without compromising visual quality. Target file size should be less than 300KB per image.
NFR-4: The system shall ensure that product images are visually consistent across different browsers (Chrome, Firefox, Safari, Edge) and devices (desktop, mobile, tablet).
NFR-5: The system shall ensure that all images displayed are free from copyright infringement and adhere to licensing agreements.
",1674,1255,11,5,4,1,3,2.19,390,295,685,"{'model_name': 'gemini-2.0-flash-001', 'temperature': 1.0, 'top_p': 0.95, 'top_k': 40}",4,4,5,4
"{'text': 'As a user, I want to be able to see high-quality images of the products I am interested in so that I can make an informed decision.', 'context': 'Application for fashion ecommerce'}",Self-Consistency,precise,"
Generate three different sets of specific, measurable, achievable, relevant, and time-bound software requirements for the following user story, then evaluate them and select the most effective set.

USER STORY:
As a user, I want to be able to see high-quality images of the products I am interested in so that I can make an informed decision.

APPROACH 1: Focus on technical implementation details
[Generate requirements with emphasis on system behaviors and technical specifications]

APPROACH 2: Focus on user experience and outcomes
[Generate requirements with emphasis on user interactions and success criteria]

APPROACH 3: Focus on business rules and data handling
[Generate requirements with emphasis on business logic and data flow]

EVALUATION CRITERIA:
- Completeness: Covers all aspects of the user story
- Clarity: Unambiguous and specific
- Testability: Can be verified through testing
- Feasibility: Realistic to implement
- Alignment: Supports the core user need

FINAL RECOMMENDATION:
Based on the evaluation, provide the most effective set of requirements with justification for your choice.

I want you to only share the functional (FR) and nonfunctional (NFR) requirements as follows and do not share your reasoning with me: : 

FR-1: 
FR-2:
NFR-1: 
NFR-2:
and so on..
","Okay, here are three sets of SMART software requirements based on the provided user story, followed by an evaluation and final recommendation.

**APPROACH 1: Focus on technical implementation details**

FR-1: The system shall support image uploads in JPEG, PNG, and WebP formats.
FR-2: The system shall store images in a content delivery network (CDN).
NFR-1: Image loading time shall be less than 2 seconds on a 1 Mbps connection.
NFR-2: The system shall automatically resize images to a maximum width of 1920 pixels.
NFR-3: The system shall support image compression with a quality setting of at least 80%.

**APPROACH 2: Focus on user experience and outcomes**

FR-1: Users shall be able to zoom in on product images to view details.
FR-2: Each product shall have at least three distinct images showcasing different angles or features.
NFR-1: 95% of users shall report that the image quality is ""good"" or ""excellent"" in a post-viewing survey.
NFR-2: Users shall be able to view product images on desktop and mobile devices without distortion.
NFR-3: The system shall display a loading indicator while images are loading.

**APPROACH 3: Focus on business rules and data handling**

FR-1: The system shall associate each product image with a unique product ID.
FR-2: The system shall prevent users from downloading product images directly.
NFR-1: Image storage shall comply with GDPR regulations regarding data privacy.
NFR-2: The system shall track the number of times each product image is viewed.
NFR-3: The system shall automatically remove images that are flagged as inappropriate by moderators within 24 hours.
",1289,1618,15,9,3,1,2,2.65,285,385,670,"{'model_name': 'gemini-2.0-flash-001', 'temperature': 0.2, 'top_p': 0.95, 'top_k': 40}",3,3,3,3
